InputID,TargetID,Distance
Ainos,Nicopolis ad Nestum,2.44944772943
Ainos,Nicopolis ad Istrum,2.53692154559
Ainos,Mesambria Pontica,2.55254694508
Ainos,Byzantion,2.88410708038
Ainos,Heraclea Sintica,2.91656697174
Ainos,Marcianopolis,2.92328353131
Ainos,Parthicopolis,2.92570678389
Ainos,Odessos,3.09223929433
Ainos,Dionysopolis,3.38001706468
Ainos,Serdica,3.39460300629
Ainos,Pautalia,3.74194678721
Ainos,Municipium Montanensium,3.92161234618
Heraclea Sintica,Parthicopolis,0.103044524872
Heraclea Sintica,Nicopolis ad Nestum,0.547205015624
Heraclea Sintica,Pautalia,1.00329269403
Heraclea Sintica,Serdica,1.23255650253
Heraclea Sintica,Philippopolis,1.63031977888
Heraclea Sintica,Abdera,1.78069161731
Heraclea Sintica,Municipium Montanensium,1.95152440116
Heraclea Sintica,Maroneia,2.32221076477
Heraclea Sintica,Seuthopolis,2.34748057748
Heraclea Sintica,Augusta Traiana,2.54732262588
Heraclea Sintica,Ainos,2.91656697174
Heraclea Sintica,Nicopolis ad Istrum,2.9285279054
Heraclea Sintica,Hadrianopolis,3.30325854389
Heraclea Sintica,Sestos,3.35968052076
Heraclea Sintica,Kabyle,3.39859515029
Heraclea Sintica,Bizye,4.50208191979
Heraclea Sintica,Apollonia Pontica,4.53652419412
Heraclea Sintica,Mesambria Pontica,4.61110718967
Heraclea Sintica,Marcianopolis,4.66924218081
Heraclea Sintica,Perinthos,4.71705728474
Heraclea Sintica,Odessos,4.97103266012
Heraclea Sintica,Selymbria,5.1096092615
Heraclea Sintica,Dionysopolis,5.25030022159
Heraclea Sintica,Byzantion,5.70856973482
Kabyle,Augusta Traiana,0.86765989482
Kabyle,Hadrianopolis,0.890027545659
Kabyle,Nicopolis ad Istrum,1.09049031879
Kabyle,Seuthopolis,1.1755392272
Kabyle,Apollonia Pontica,1.22679352878
Kabyle,Mesambria Pontica,1.23414885135
Kabyle,Marcianopolis,1.29321107339
Kabyle,Odessos,1.57791140914
Kabyle,Bizye,1.61961218783
Kabyle,Philippopolis,1.78378281165
Kabyle,Dionysopolis,1.86406146588
Kabyle,Ainos,1.87775630554
Kabyle,Maroneia,1.92052897594
Kabyle,Perinthos,2.1684232855
Kabyle,Abdera,2.22157490664
Kabyle,Sestos,2.34587948905
Kabyle,Selymbria,2.35998843999
Kabyle,Nicopolis ad Nestum,2.85390676382
Kabyle,Byzantion,2.91722496183
Kabyle,Serdica,3.16260186856
Kabyle,Parthicopolis,3.34917969817
Kabyle,Municipium Montanensium,3.35927261662
Kabyle,Heraclea Sintica,3.39859515029
Kabyle,Pautalia,3.80843054143
Seuthopolis,Augusta Traiana,0.3744183475
Seuthopolis,Nicopolis ad Istrum,0.669008472739
Seuthopolis,Philippopolis,0.737010351274
Seuthopolis,Kabyle,1.1755392272
Seuthopolis,Hadrianopolis,1.57085087544
Seuthopolis,Abdera,1.71825250474
Seuthopolis,Maroneia,1.73362237074
Seuthopolis,Nicopolis ad Nestum,1.82679718761
Seuthopolis,Serdica,1.98712917659
Seuthopolis,Ainos,2.04925399032
Seuthopolis,Municipium Montanensium,2.22172218908
Seuthopolis,Parthicopolis,2.28244889871
Seuthopolis,Heraclea Sintica,2.34748057748
Seuthopolis,Marcianopolis,2.35902623132
Seuthopolis,Apollonia Pontica,2.40102476159
Seuthopolis,Mesambria Pontica,2.40191304106
Seuthopolis,Sestos,2.63395947138
Seuthopolis,Pautalia,2.64598252641
Seuthopolis,Bizye,2.6717234196
Seuthopolis,Odessos,2.6761231969
Seuthopolis,Dionysopolis,2.94170081228
Seuthopolis,Perinthos,3.12032171948
Seuthopolis,Selymbria,3.39732797965
Seuthopolis,Byzantion,3.98579350223
Bizye,Perinthos,0.632188324478
Bizye,Selymbria,0.740541735036
Bizye,Apollonia Pontica,0.846537468892
Bizye,Mesambria Pontica,1.12386203108
Bizye,Hadrianopolis,1.20839808578
Bizye,Byzantion,1.31464092709
Bizye,Kabyle,1.61961218783
Bizye,Odessos,1.65099582445
Bizye,Marcianopolis,1.67095906903
Bizye,Dionysopolis,1.87276298907
Bizye,Ainos,1.88151175608
Bizye,Sestos,1.93598824584
Bizye,Augusta Traiana,2.30258485381
Bizye,Maroneia,2.34692830249
Bizye,Seuthopolis,2.6717234196
Bizye,Nicopolis ad Istrum,2.71007207505
Bizye,Abdera,2.87141022349
Bizye,Philippopolis,3.0706307611
Bizye,Nicopolis ad Nestum,3.96937266738
Bizye,Parthicopolis,4.48181049361
Bizye,Heraclea Sintica,4.50208191979
Bizye,Serdica,4.58310161567
Bizye,Municipium Montanensium,4.89261769826
Bizye,Pautalia,5.1312613255
Dionysopolis,Odessos,0.295289757796
Dionysopolis,Marcianopolis,0.583021794457
Dionysopolis,Mesambria Pontica,0.833775789206
Dionysopolis,Apollonia Pontica,1.08467055513
Dionysopolis,Kabyle,1.86406146588
Dionysopolis,Bizye,1.87276298907
Dionysopolis,Selymbria,2.28163754666
Dionysopolis,Hadrianopolis,2.34610670115
Dionysopolis,Perinthos,2.44445716462
