Record ID,Personal name,Parent's name,Ethnic name,Partner's name,Grandparent's name,Comments
15249,"473","15248",,,,
4279,"473","4278",,,,
7845,"7844","1442",,,,
15290,"476","19",,,,
7251,"476","7250",,,,
16471,"4004","399",,,,
4005,"4004","2465",,,,
4337,"4336",,,,,
16399,"16397","263",,"1403",,
9604,"487","998",,,,
12922,"485","479",,,,
9952,"485","7188",,,,
9973,"485","792",,,,
9584,"485","1085",,,,
9303,"485","1661",,,,
10064,"485","10063",,,,
8992,"485",,,,,
8373,"485|2626","1194",,,,
16560,"16559",,,,,
4435,"4433","4441",,,,
4024,"495",,,,,
16107,"16106",,,,,
7846,"497","246",,,,
7204,"497","274",,,,
7196,"497","380",,,,
7889,"497","7847",,,,
4305,"497","825",,,,
8237,"497","1085",,,,
7607,"497","1194",,,,
7824,"497","7823",,,,
7842,"497",,,"4375",,
12786,"497|1661",,,,,
16244,"6867|2229",,,"35",,
7109,"2998","7108",,,,
4957,"4956","792",,,,
15141,"15140","808",,,,
4556,"499","2287",,,,
4630,"501",,,,,
16621,"16619","16620",,,,
6934,"507","868",,,,
10081,"507|10080",,,,,
4008,"2466","295",,,,
9383,"2466","2454",,,,
4653,"2466",,,,,
8299,"509",,,,,
8868,"510",,,,,
5486,"512","1374",,,,
14088,"14086","14087",,,,
8150,"7007","1476",,,,
7913,"519","310",,,,
7795,"519","310",,,"816",
7848,"7847","477",,,,
7610,"524","2233",,,,
8445,"524","1194",,,,
4015,"524|603",,,,,
15306,"15305","841",,,,
16196,"527","1720",,,,
7772,"531","7771",,,,
7775,"532","274",,,,
7791,"532","7790",,,,
7822,"532","423",,,,
7820,"532","497","7819",,,
7793,"532","532",,,,
7901,"532","1194",,,,
7797,"532","7796",,,,
4121,"2543","130",,,,
4695,"538",,,,,
15299,"15278","15298",,,,
15318,"15278","1297",,,,
15175,"15174","141",,,,
16416,"16415","1757",,,,
9056,"9055","629",,,,
4639,"4638",,,,,"Lachanas - greengrocer"
14429,"14428","909",,,,
14537,"14536","141",,,,
4007,"2457","689",,,,
4333,"4332",,,,,
15173,"15171","15172",,,,
15704,"15703","141",,,,
8733,"554",,,,,
4590,"2892","4588",,,,"mother was Elpis"
5732,"558","21",,"5731",,
14256,"558",,,,,
5511,"5509","5510",,"1237",,
14501,"4580","449",,,,
4301,"561","667",,,,"hieroneikes"
15380,"561",,"5756",,,
16495,"564","10080",,,,
