Heurist ID|Administrative keywords|Formulaic keywords|Honorific keywords|Religious keywords|Epithet|Collective group names|Geographic names|Person|
2620 | Bouleutes, Archon, Polis, Boule, Demos, Hegemonia, Symmachos, Nomos, Eleutheria, Psefisma, Presbeia, Horkos, Chora, Patris, | Edoxen, Dedochthai, | Eunoia, | Dionysus, theos, | | Romaioi, Maronitai, | | Tiberios, Klaudios, Kaisar, Germanikos, child of, partner of, grandchild of, | 
2625 | Demos, | Agathe tyche, | | | | | | Kornelios, Herakleides, child of, partner of, grandchild of, | 
2627 | Boule, Demos, | Edoxen, | | | | | | | 
2628 | Demos, | Edoxen, | Arete, | Therapeutai, theos, Sarapis / Serapis, hiereus, Isis, hieron, | | | | Paranomos, child of Attalos, partner of, grandchild of, | 
2630 | Psefisma, | Eis stelen lithinen, | Stefanos, Stefanosai, Ekona stesai, Aleitourgos,Aneisforos, | hieron, Therapeutai, theos, Sarapis / Serapis, | | | | Sokles, child of Theoxenides, partner of, grandchild of, | 
2632 | | | | | | | | Porkes, child of Porkes, partner of, grandchild of, | 
2633 | Xenos, Polis, | | | archiereus, | | | Maroneia, Abdera, Samothrake, Philippoi, | Hadrianos, Kaisar, Neroua, Traianos, Parthikos, child of, partner of, grandchild of, | 
2637 | Basileus, | | | Zeus, | | | | Filippos, Soter, child of, partner of, grandchild of, | 
2638 | | | | Zeus, Rhome,Rome, | | | | | 
2639 | | | | hiereus, Zeus, Dionysus, Rhome,Rome, | | | | | 
2640 | | | | Dionysus, hiereus, Rhome,Rome, Zeus, | Maron, | | | Kelsos, child of Markos, partner of, grandchild of, | 
2641 | | Agathe tyche, | | Zeus, hiereus, Dionysus, Rhome,Rome, | Maron, | | | Titos, Kaisios, Kaikilianos, child of, partner of, grandchild of, | 
2671 | | | | hiereus, Zeus, Dionysus, Rhome,Rome, | Maron, | | | Apollodoros, child of Apollodoros, partner of, grandchild of, | 
2672 | | | | hiereus, Zeus, Dionysus, Rhome,Rome, | Maron, | | | Amynandros, child of Theodoros, partner of, grandchild of, | 
2673 | | Agathe tyche, | | hiereus, Zeus, Dionysus, Rhome,Rome, | Maron, | | | Aurelios, Alb[anos/einos], child of, partner of, grandchild of, | 
2674 | | Agathe tyche, | | hiereus, Zeus, Dionysus, Rhome,Rome, | Maron, | | | Aurelios, Tarsas, child of Myron, partner of, grandchild of, | 
2675 | | Agathe tyche, | | hiereus, Zeus, Dionysus, Rhome,Rome, | Maron, | | | Dionysios, child of Theodotos, partner of, grandchild of, | 
2676 | | | | hiereus, Rhome,Rome, Dionysus, Zeus, | Maron, | | | Unknown, child of Preiskos, partner of, grandchild of, | 
2678 | | Agathe tyche, | | hiereus, Rhome,Rome, Zeus, Dionysus, | Maron, | | | | 
2679 | | | | | Maron, | | | | 
2680 | Trierchia, | Charisterion, | | Sarapis / Serapis, Isis, Anoubis, Harpokrates, | | | | Noumenios, child of, partner of, grandchild of, Metrofanes, child of Herodotos, partner of, grandchild of, | 
2684 | | | | Isis, Sarapis / Serapis, Harpokrates, | | | | Akestor, Ath[?], child of, partner of, grandchild of, | 
2686 | Trierchia, | Charisterion, | | Sarapis / Serapis, Isis, Harpokrates, | | | | [De]mostrates, child of, partner of, grandchild of, | 
2687 | | | | thea, | | | | Markia, Abratis, child of, partner of, grandchild of, | 
2690 | | | | Isis, Anoubis, Sarapis / Serapis, Harpokrates, Agonothetes, | | | | Apollonios, child of Apollonios, partner of, grandchild of, |
2692 | | Epegrapsen, | | Neikonemesis, | Soteira, | | | Serapion, child of Serapion, partner of, grandchild of, Unknown, child of Posidon, partner of, grandchild of, K[?], child of [Nik]oxenos, partner of, grandchild of, Demostratos, child of Isi[doros], partner of, grandchild of, Hera[kl]ei[des], child of, partner of, grandchild of, | 
