Heurist ID,Geolocation,Start Year,End Year
2832,POINT(25.512225 40.8778918),1,199
2834,POINT(25.5120564 40.8769851),100,199
2836,POINT(25.5120564 40.8777639),1,99
2837,POINT(25.5110264 40.8747136),100,199
2839,POINT(25.5108547 40.8781532),100,199
2842,POINT(25.5106831 40.8738699),-299,-100
2844,POINT(25.5156612 40.8793214),-199,-150
2845,POINT(25.5112839 40.8766606),100,199
2846,POINT(25.5115414 40.8774394),100,299
2849,POINT(25.5114555 40.8726368),-338,-30
2850,POINT(25.5105972 40.8778937),-338,-30
2851,POINT(25.5116272 40.8749083),-338,-30
2852,POINT(25.511713 40.8756222),-338,-30
2853,POINT(25.5113697 40.8752977),1,199
2854,POINT(25.511198 40.8768553),-27,284
2856,POINT(25.5114555 40.8756871),-199,-1
2857,POINT(25.5111122 40.8760116),1,199
2859,POINT(25.5104256 40.875103),-27,284
2860,POINT(25.5114555 40.8758169),-27,284
2862,POINT(25.5162621 40.8769851),-338,-30
2863,POINT(25.5130863 40.8786075),1,99
2865,POINT(25.5099106 40.8738699),-27,284
2866,POINT(25.5116272 40.8758169),-338,-30
2867,POINT(25.5084515 40.8832799),180,220
2868,POINT(25.5157471 40.8769851),-99,99
2870,POINT(25.5130863 40.8815927),1,99
2872,POINT(25.5134296 40.8789969),180,199
