Record ID,Personal name,Parent's name,Ethnic name,Partner's name,Grandparent's name,Comments
10304,"2189|264",,,,,
5198,"2189|2218","2196",,,,"Father's name is Klaudios Kastos"
5102,"2189|2218","1073",,,,
5116,"2189|2219","5115",,,,
5105,"2189|2219","516",,,,
12790,"2189|2220",,,,,
5267,"2189|299","56",,,,
6989,"2189","196",,,,
16089,"2189","209",,,,
11149,"2189","11134","11148",,,
10218,"2189","442",,,,
8171,"2189","8170",,,,
4958,"2189","792",,"3761",,
5187,"2189","2458",,,,"Father's name Ioulios Valens, but may be a mistake and Ioulios should be name of the son."
7809,"2189","1194",,,,
10383,"2189","10379",,,,"son of Patrikios Nikon (probably)"
13650,"2189","13649",,,,
12615,"2189",,,"12613",,
4923,"2189",,,,,
13419,"2189|335","728",,,,
5254,"2189|335","1529",,,,
11113,"2189|335",,,,,
12596,"2189|342",,"11902","2287",,
7118,"2189|7117",,,,,
6689,"2189|390","6688",,,,
16581,"2189|392","335",,,,"ἀρχιερεὺς δι᾿ ὅπλών"
5089,"2189|393","1248",,,,
7107,"2189|399","399",,,,
6232,"2189|399","1598",,,,
6855,"2189|440",,,,,
8084,"2189|442","212",,,,
5228,"2189|449","200",,,,
7309,"2189|449","7975",,,,
8532,"2189|449",,,,,
11117,"2189|456","2287",,,,
12601,"2189|456",,,"12548",,
4830,"2189|456",,,,,
5154,"2189|459","5153",,,,
5148,"2189|459","783",,,,
5184,"2189|459","2176",,,,
5163,"2189|459","1183",,,,
13071,"2189|13070",,,,,
5175,"2189|463","212",,,,
16361,"2189|16360|135",,,,,
5251,"2189|2287","124",,,,
