corpusname,corpusidnumeric,personname,ethnicity,gender
IG Bulg 1(2),20010.2,2266,,
IG Bulg 5,75540,2177,,
IG Bulg 4,62337,11404,,
IG Bulg 1(2),20046,2917,,
IG Bulg 5,75888.2,9528,,
IK Byzantion,95208,1768,,
IK Byzantion,95312,15243,,
IG Bulg 2,30659,2429,,
IK Byzantion,95346,15037,,
"IG Bulg 3,2",51788,6156,,
I Aeg Thrace,10085,2179|4010|5978,,
IG Bulg 4,62228,10763,,
IG Bulg 1(2),20014,2189|643,,
"IG Bulg 3,2",51731,1453,,
IG Bulg 4,62064,9805,,
Other,100103,15785,,
IG Bulg 5,75012,2189|11646,,
I Aeg Thrace,10203,141,,
IG Bulg 2,30606,2634,,
IG Bulg 1(2),20231,842,,
IG Bulg 1(2),20051,3891,,
"IG Bulg 3,2",51567,2177|2200|5935,,
IK Byzantion,96045,2177|14954|1349,,
"IG Bulg 3,1",41516,11061,,
IK Byzantion,95299,15354,,
I Aeg Thrace,10199,1248,,
Other,100343,6867|2229,,
IG Bulg 2,30848,1333,,
IG Bulg 5,75896,13803|2997,,
IG Bulg 4,62257,10973,,
IG Bulg 5,75587,2196|6622,,
IG Bulg 5,75245,11951,,
Other,100300,2997|2283,,
"IG Bulg 3,1",41510,2175|2451|6721,,
"IG Bulg 3,2",51690,1194,,
IG Bulg 4,61910,8928|209,,
IG Bulg 1(2),20395.2,226,,
"IG Bulg 3,1",41026,9670,,
IG Bulg 1(2),20312,6207,,
IG Bulg 1(2),20432,8793,,
IG Bulg 1(2),20025,804,,
"IG Bulg 3,1",40948,2416,,
IG Bulg 1(2),20051.2,3891,,
"IG Bulg 3,2",51553,6677|6678,,
IG Bulg 2,30645,3742,,
IG Bulg 2,30719,6734,,
IG Bulg 5,75591,13502,,
I Aeg Thrace,10145,1392,,
"IG Bulg 3,1",41520,2189|1196,,
IG Bulg 4,62147,326,,
IG Bulg 1(2),20370,2176|2211|102,,
IK Byzantion,95112,688,,
IG Bulg 1(2),20049,5582,,
"IG Bulg 3,1",40945,2722|8579,,
IG Bulg 1(2),20140.2,3522,,
Perinthos-Herakleia,80061,12204,,
"IG Bulg 3,2",51690,7188,,
IG Bulg 2,30486,2265,,
I Aeg Thrace,10287,200,,
Perinthos-Herakleia,80061,12257,,
Other,100111,15799,,
IG Bulg 2,30750,2189|1433,,
IG Bulg 1(2),20303,6117,,
Perinthos-Herakleia,80066,12330,,
"IG Bulg 3,2",51610,7091,,
IK Byzantion,95173,2833,,
IG Bulg 5,75626,683,,
"IG Bulg 3,2",51576,4437|2176,,
"IG Bulg 3,1",41517,2189|1196,,
"IG Bulg 3,1",41430,315,,
IK Byzantion,95167,15076,,
IG Bulg 4,62072,341,,
Other,100377,16504,,
IG Bulg 5,75570,2211|2173,,
"IG Bulg 3,2",51690,2176|2609,,
IG Bulg 1(2),20051.2,5655,,
Perinthos-Herakleia,80051,16583|16584,,
IG Bulg 1(2),20126,5793,,
IG Bulg 2,30705,3716|3712,,
I Aeg Thrace,10221,683,,
IG Bulg 4,61907,2176|2185|1740,,
IG Bulg 5,75931,13872,,
IG Bulg 4,62090,56,,
"IG Bulg 3,1",41323,2997|2998,,
I Aeg Thrace,10082,14,,
I Aeg Thrace,10435,2189|932,,
IG Bulg 5,75215,2261,,
IG Bulg 5,75341,13292,,
IG Bulg 1(2),20326,375,,
I Aeg Thrace,10109,789,,
IG Bulg 5,75004.2,11621,,
IG Bulg 1(2),20204,1757,,
IK Byzantion,95319,2257,,
Other,100291,3891,,
IG Bulg 2,30734,2175|6867|6868,,
IG Bulg 4,62305,2189|214,,
IG Bulg 5,75157,1317,,
IG Bulg 1(2),20047,2189|2185,,
IG Bulg 1(2),20283,196,,
IG Bulg 1(2),20108,3382,,
IG Bulg 1(2),20459,385,,
IG Bulg 5,75410,6789,,
IG Bulg 1(2),20269,1738,,
IG Bulg 1(2),20090,2176|2189|2609,,
IK Byzantion,95109,14510,,
IK Byzantion,95064,14383,,
Perinthos-Herakleia,80134,9144,,
IG Bulg 5,75364,3107,,
IG Bulg 1(2),20118,5822,,
"IG Bulg 3,2",51690,1194,,
IG Bulg 5,75244,10085|786,,
IG Bulg 1(2),20441,1485,,
IG Bulg 1(2),20007,2206,,
Perinthos-Herakleia,80095,9299|12403,,
IK Byzantion,95114,14522,,
IG Bulg 2,30631,2211|3706,,
IG Bulg 1(2),20460,9104,,
IG Bulg 1(2),20047.2,2189|1708,,
IG Bulg 1(2),20312,3891,,
IG Bulg 2,30633,3713|3714,,
IG Bulg 5,75918,13842,,
"IG Bulg 3,1",41046,2358,,
Other,100104,71,,
IG Bulg 4,62116,8232,,
I Aeg Thrace,10258,4456,,
IK Sestos,90038,14010,,
IG Bulg 2,30867,7507,,
"IG Bulg 3,2",51593,2175|6920|6922,,
IK Byzantion,95338,134,,
IG Bulg 1(2),20335.8,129,,
IK Byzantion,96035,14933,,
IG Bulg 1(2),20057,2178|2458|2357,,
IK Byzantion,95311,390,,
IG Bulg 4,61922,8985,,
IG Bulg 1(2),20274.2,3951,,
IK Byzantion,95236,688,,
IG Bulg 2,30752,346,,
IG Bulg 5,75599,2412|847|1223,,
"IG Bulg 3,1",41026,7091|979,,
IK Byzantion,95348,340,,
"IG Bulg 3,2",51614,7098,,
IK Byzantion,95019,2175|14241|2265|2591|561,,
IG Bulg 2,30600,22,,
IK Byzantion,95024,14283,,
IG Bulg 1(2),20445,1658,,
IG Bulg 2,30635,2997|5006,,
IK Byzantion,95228,14020,,
Perinthos-Herakleia,80004,633,,
IG Bulg 2,30661,6145|6146,,
IG Bulg 1(2),20046,85,,
IG Bulg 2,30616,2634,,
IG Bulg 4,61923,4437,,
IG Bulg 5,75589,274,,
IG Bulg 2,30624,2358,,
"IG Bulg 3,2",51690,2233,,
I Aeg Thrace,10236,4370,,
Perinthos-Herakleia,80002,1373,,
IG Bulg 4,62072,825|9853,,
I Aeg Thrace,10219,2738|2251,,
I Aeg Thrace,10094,495,,
"IG Bulg 3,2",51585,683,,
IG Bulg 2,30870,636,,
IG Bulg 1(2),20198,5396,,
I Aeg Thrace,10168,2591|2182|2246,,
Other,100174,1196,,
IG Bulg 2,30811,2173|7290,,
IG Bulg 1(2),20046,128,,
I Aeg Thrace,10143,791,,
IG Bulg 1(2),20047,2189|1388,,
IG Bulg 1(2),20014,2189|849,,
Perinthos-Herakleia,80122,212,,
IG Bulg 2,30744,6945,,
IG Bulg 2,30625,2176|2609,,
IG Bulg 2,30614,2179|3683|2659,,
IG Bulg 4,61960,2189|456,,
IG Bulg 5,75832,2176,,
IG Bulg 1(2),20326,774,,
IK Byzantion,95034,2481|14306,,
IG Bulg 5,75244,6610,,
IK Byzantion,95321,2179|15415|15417,,
IG Bulg 2,30832,1283,,
IK Byzantion,95267,3191|6724|792,,
IG Bulg 5,75340,13277,,
Perinthos-Herakleia,80292,13035,,
I Aeg Thrace,10487,1535,,
Other,100385,811,,
IG Bulg 4,62337,10710,,
IG Bulg 5,75567,2173|2458|3146|3147,,
IK Byzantion,95137,3891,,
IG Bulg 4,62009,2179|2458|2677,,
"IG Bulg 3,1",41516,4852,,
IK Byzantion,95372,2177,,
Other,100326,2189|1424,,
"IG Bulg 3,1",41395,485,,
Perinthos-Herakleia,80061,12268,,
"IG Bulg 3,1",41538,998,,
IG Bulg 4,61911,5115,,
Perinthos-Herakleia,80072,2179|2211|1160,,
Other,100294,2179|2211|16138,,
"IG Bulg 3,2",51596,214,,
IK Sestos,90006,13916,,
I Aeg Thrace,10084,2178|2196|247,,
IG Bulg 1(2),20203,3891,,
IG Bulg 1(2),20027.2,1052,,
IG Bulg 1(2),20318,16711,,
"IG Bulg 3,1",40999,2182,,
IK Sestos,90056,212,,
I Aeg Thrace,10055,828,,
IG Bulg 4,62125,10504,,
IG Bulg 4,61904,3191|2204,,
Other,100293,9774,,
IG Bulg 2,30622,2175|2206|2261|3325|8075,,
IG Bulg 1(2),20401,1600|2173,,
"IG Bulg 3,1",41176,2213,,
IG Bulg 1(2),20177,1708,,
Perinthos-Herakleia,80144,755,,
IG Bulg 1(2),20421.2,1649,,
IG Bulg 1(2),20160,196,,
Perinthos-Herakleia,80005,8101,,
Perinthos-Herakleia,80155,2189|2287,,
IG Bulg 4,62327,11440,,
IG Bulg 2,30680,435,,
IG Bulg 4,62068,2177|9819|9822,,
Perinthos-Herakleia,80004,11334,,
I Aeg Thrace,10194,2189|1594,,
IG Bulg 1(2),20141,558,,
Other,100128,1708,,
"IG Bulg 3,2",51776,56,,
IG Bulg 4,62127,10509|5609,,
IG Bulg 4,62324,2452,,
Other,100073,15703,,
"IG Bulg 3,1",41447,1555,,
"IG Bulg 3,1",41177,2189|2241,,
IK Byzantion,95270,15022,,
IK Byzantion,95324,1433,,
IG Bulg 2,30799,644,,
IG Bulg 5,75927,2179,,
IG Bulg 5,75133,1316,,
IG Bulg 2,30749,2189|1196,,
IG Bulg 2,30617,2622,,
IG Bulg 4,62175,1368,,
"IG Bulg 3,2",51739,8232,,
IG Bulg 1(2),20037,687,,
I Aeg Thrace,10256,4437,,
IG Bulg 1(2),20322.2,1033,,
IG Bulg 5,75180,2189|5115,,
Perinthos-Herakleia,80004,11971,,
IG Bulg 4,62125,2189|787,,
IG Bulg 1(2),20022,3891,,
IG Bulg 4,62028,485|2626,,
IG Bulg 2,30642,2176|2185|2656,,
IK Byzantion,95268,1162,,
"IG Bulg 3,1",41055,2659,,
"IG Bulg 3,1",41516,274,,
IG Bulg 1(2),20047,2189|2211,,
IK Byzantion,95164,15068,,
"IG Bulg 3,1",41530,2210|791,,
"IG Bulg 3,2",51690,1474,,
I Aeg Thrace,10261,4489,,
IG Bulg 4,62056,16617,,
Perinthos-Herakleia,80166,5364,,
I Aeg Thrace,10365,3891,,
"IG Bulg 3,1",40933,1433,,
IG Bulg 5,75570,10646,,
IG Bulg 1(2),20047.2,2209|842,,
IK Byzantion,96048,14957,,
IK Byzantion,96007,8965,,
"IG Bulg 3,1",41441,1442,,
"IG Bulg 3,2",51626,1594,,
I Aeg Thrace,10446,4399,,
IG Bulg 4,62279,1585,,
Perinthos-Herakleia,80097,1549,,
IG Bulg 1(2),20228.2,3758,,
IG Bulg 1(2),20014,2189|727,,
"IG Bulg 3,2",51593,1476,,
Perinthos-Herakleia,80064,2179|2211|168,,
"IG Bulg 3,1",40963,1558,,
I Aeg Thrace,10212,391,,
"IG Bulg 3,1",40907,3336|2206|3692,,
IG Bulg 5,75286,2229,,
I Aeg Thrace,10142,4128,,
Other,100268,16057,,
IK Byzantion,96063,14982,,
IG Bulg 5,75124,2287,,
IG Bulg 1(2),20297,2179|2181|2358|2609,,
Perinthos-Herakleia,80131,2188|12508,,
Perinthos-Herakleia,80061,12259,,
IG Bulg 1(2),20431,553,,
IK Sestos,90034,2179|2196|13992,,
IG Bulg 2,30620,2429,,
I Aeg Thrace,10114,1153,,
IK Byzantion,95150,12504,,
I Aeg Thrace,10229,2753,,
"IG Bulg 3,1",41111,1616,,
IK Sestos,90019,877,,
IK Byzantion,95304,15362,,
"IG Bulg 3,1",41362,998,,
IG Bulg 1(2),20051.2,1762,,
I Aeg Thrace,10084,2173|2458|264,,
"IG Bulg 3,2",51690,532,,
IG Bulg 2,30633,2176|2189|2261|2609,,
IG Bulg 1(2),20176.2,133,,
IG Bulg 5,75332,2609,,
"IG Bulg 3,1",41401,2173|2458|3674,,
I Aeg Thrace,10379,4672,,
IG Bulg 1(2),20047,2189|796,,
IG Bulg 5,75702,16574,,
IG Bulg 4,62319,10906,,
IG Bulg 5,75693,13621|13622,,
IG Bulg 4,62056,212,,
IG Bulg 1(2),20047.2,2176|2189|236,,
IG Bulg 5,75104,11779,,
IG Bulg 1(2),20058,2179|2211|2707,,
"IG Bulg 3,2",51723,1194,,
IG Bulg 2,30506,4867,,
I Aeg Thrace,10084,2462,,
IG Bulg 2,30619.2,2173|3689|3690,,
IG Bulg 1(2),20326,223,,
"IG Bulg 3,1",41363,3891,,
Perinthos-Herakleia,80061,459,,
IG Bulg 1(2),20047.2,2189|564,,
Other,100280,1008,,
IG Bulg 5,75817,825,,
I Aeg Thrace,10212,1651,,
IG Bulg 5,75104,2287,,
IK Byzantion,95110,6688,,
IG Bulg 5,75244,2181,,
IG Bulg 1(2),20297,2176|2189|2609,,
IG Bulg 5,75250,2179|2189|11962,,
"IG Bulg 3,2",51888,2177|2185|2659,,
IK Byzantion,95033,2481|14306,,
IG Bulg 4,62240,10906,,
I Aeg Thrace,10292,667,,
Perinthos-Herakleia,80148,2188|12576,,
IG Bulg 1(2),20463.2,1762,,
"IG Bulg 3,1",41473,2176|2189|56,,
IG Bulg 4,62338,1426,,
IG Bulg 5,75103,1231,,
"IG Bulg 3,1",41411,2179|2211|6789,,
IG Bulg 5,75596,2211|6761,,
"IG Bulg 3,1",41317,1599,,
IG Bulg 5,75896,2176|2189|13801|56,,
"IG Bulg 3,2",51690,7847,,
"IG Bulg 3,2",51690,7785,,
IG Bulg 1(2),20108,842,,
"IG Bulg 3,1",41546,2189|11224,,
IG Bulg 4,62316,11453,,
IG Bulg 1(2),20046,756,,
IK Byzantion,95158,2481,,
IG Bulg 4,62311,1404,,
IG Bulg 5,75922,56,,
I Aeg Thrace,10344,4625,,
IG Bulg 5,75665,1194,,
IG Bulg 1(2),20178,75,,
IK Byzantion,95212,15159,,
IK Byzantion,95180,2179|9709,,
Other,100310,2211|643,,
IK Byzantion,95235,15212,,
IG Bulg 2,30621,2622,,
Perinthos-Herakleia,80057,56,,
IG Bulg 2,30534,2179|2211|76,,
IG Bulg 2,30625,2358,,
IK Byzantion,95376,297,,
IK Sestos,90038,14031,,
"IG Bulg 3,1",41517,2189|887,,
IG Bulg 4,62055,135,,
IG Bulg 5,75694,12009,,
"IG Bulg 3,1",41291,2189,,
IG Bulg 1(2),20047.2,2189|1248,,
IG Bulg 4,61927,2189|485,,
IG Bulg 1(2),20047,2189|459,,
IG Bulg 1(2),20047,2189|784,,
IK Byzantion,95107,102,,
IG Bulg 1(2),20050,2287,,
IG Bulg 4,62047,2412|812,,
IK Sestos,90009,2196|2176,,
IG Bulg 1(2),20110,1248,,
"IG Bulg 3,2",51690,1594,,
IG Bulg 1(2),20047.2,2189|200,,
"IG Bulg 3,2",51690,274,,
IG Bulg 2,30659,2175|2206|2261|3325|8075,,
Other,100345,6610,,
Other,100328,2179|2458|2677,,
IK Sestos,90038,469,,
IG Bulg 1(2),20047.2,2176|2189|2962,,
Perinthos-Herakleia,80061,12270,,
Other,100210,2177|15905|15906,,
Other,100100,135,,
Other,100268,16038,,
"IG Bulg 3,1",41095,182,,
IG Bulg 1(2),20047.2,2189|792,,
IG Bulg 5,75338,4399,,
Other,100376,12087,,
IG Bulg 1(2),20324,226,,
IG Bulg 1(2),20028,390,,
"IG Bulg 3,2",51841,8691|8692,,
I Aeg Thrace,10212,1707,,
"IG Bulg 3,1",41325,1191,,
IG Bulg 5,75159,1549,,
IG Bulg 1(2),20205,5002,,
IK Byzantion,95281,449,,
IG Bulg 2,30620,2175|2206|2261|3325|8075,,
IG Bulg 5,75336,2659,,
IK Byzantion,95324,196,,
I Aeg Thrace,10079,2431,,
IG Bulg 4,62336,6097,,
"IG Bulg 3,1",41093,1194,,
IG Bulg 4,62278,1403,,
IG Bulg 2,30560,485,,
IG Bulg 4,61926,2211|2664,,
Other,100235,1762,,
IK Byzantion,95368,15493,,
IG Bulg 2,30671,335|6369,,
I Aeg Thrace,10447,3191|3345|3346,,
Perinthos-Herakleia,80049.2,12120,,
IG Bulg 2,30607,2179|2181|2358|2609,,
IG Bulg 1(2),20336,469,,
IG Bulg 2,30554,3258,,
IG Bulg 4,62057,8016,,
IG Bulg 1(2),20146,56,,
"IG Bulg 3,2",51701,2257|8079,,
IG Bulg 5,75410,2261,,
I Aeg Thrace,10153,390,,
"IG Bulg 3,2",51690,1196,,
"IG Bulg 3,1",41199,1190,,
IG Bulg 1(2),20047,2189|135,,
I Aeg Thrace,10123,1489,,
IK Byzantion,95314,570,,
IG Bulg 1(2),20078.3,1761,,
IG Bulg 1(2),20339.2,5916,,
I Aeg Thrace,10415,1272,,
IG Bulg 5,75214,2997|2998,,
IK Byzantion,95024,14285,,
IK Byzantion,95222,15178,,
IG Bulg 4,62016,2176|2185|2656,,
"IG Bulg 3,2",51819,8488,,
"IG Bulg 3,1",41089,1194,,
IG Bulg 1(2),20046,840,,
IG Bulg 1(2),20287,2175|2268|810,,
IG Bulg 1(2),20022,3891,,
IG Bulg 2,30630,2176|2609,,
IG Bulg 1(2),20463.2,748,,
IG Bulg 1(2),20435,8802,,
I Aeg Thrace,10084,2178|2196|2454,,
IG Bulg 2,30763,1728,,
IG Bulg 1(2),20402,7990,,
"IG Bulg 3,2",51653,2210|1678,,
"IG Bulg 3,1",41388,2185|1196,,
Perinthos-Herakleia,80063,449,,
IG Bulg 1(2),20305.4,1339,,
I Aeg Thrace,10212,497,,
I Aeg Thrace,10212,449,,
"IG Bulg 3,1",41517,6717,,
Perinthos-Herakleia,80166,2189|1299,,
IG Bulg 1(2),20318,16699,,
I Aeg Thrace,10386,2229,,
"IG Bulg 3,2",51850,8735,,
IG Bulg 2,30648,2176|2189|3891,,
I Aeg Thrace,10134,170,,
Perinthos-Herakleia,80056,2241,,
IK Byzantion,95021,1691,,
IG Bulg 2,30853,2929,,
IG Bulg 5,75244,255,,
"IG Bulg 3,2",51560,154,,
IG Bulg 2,30637,2176|2189|2261|56|6656,,
IG Bulg 2,30636,2176|2189|2261|2609,,
IG Bulg 1(2),20414,1118,,
IK Byzantion,95209,626,,
I Aeg Thrace,10155,1038,,
"IG Bulg 3,1",40884,2211|56,,
I Aeg Thrace,10317,2210,,
Perinthos-Herakleia,80011,2997|2998,,
"IG Bulg 3,1",41150,2189|9928,,
Other,100361,2203,,
IG Bulg 5,75102,877,,
I Aeg Thrace,10487,165,,
IK Sestos,90030,2181|140,,
Perinthos-Herakleia,80080,12362|8912,,
I Aeg Thrace,10403,155,,
IK Byzantion,96012,1095,,
"IG Bulg 3,1",40920,7965,,
I Aeg Thrace,10103,399,,
Other,100382,12365|16519|16520|16521,,
IG Bulg 2,30501,2173,,
Perinthos-Herakleia,80061,12200,,
IG Bulg 1(2),20195,3891,,
IK Byzantion,95019,2264,,
IG Bulg 2,30595,1576,,
"IG Bulg 3,1",40977,791,,
"IG Bulg 3,1",40894,212,,
IG Bulg 2,30688,5938,,
"IG Bulg 3,1",41407,1529,,
IG Bulg 4,62304,713,,
"IG Bulg 3,1",41488,266,,
"IG Bulg 3,1",41521,754,,
"IG Bulg 3,1",41516,7007,,
Other,100407,2176|2458|683,,
"IG Bulg 3,2",51690,1194,,
IG Bulg 2,30858,865,,
IG Bulg 5,75238,13218,,
IG Bulg 2,30604,3670,,
IG Bulg 1(2),20047,2189|2272,,
Other,100417,10906|945,,
IG Bulg 1(2),20036,3891,,
"IG Bulg 3,2",51591,2176|2458|683,,
IG Bulg 2,30714,6868|6475,,
IG Bulg 5,75060,539,,
IK Byzantion,95295,1768,,
IG Bulg 1(2),20177.2,3592,,
Perinthos-Herakleia,80223,12929,,
IG Bulg 5,75921,1403,,
IG Bulg 1(2),20289,4661,,
IG Bulg 2,30587,2211|3178,,
IG Bulg 2,30626,2175|2206|3692,,
IG Bulg 4,62042,2173,,
IG Bulg 5,75284,2189,,
IG Bulg 4,62056,16613,,
IK Sestos,90064,2176|2196|2257,,
IG Bulg 5,75691,4774,,
IG Bulg 1(2),20107.2,3380,,
Perinthos-Herakleia,80065,12305,,
IG Bulg 1(2),20046,2920,,
I Aeg Thrace,10222,201,,
IG Bulg 2,30868,1196,,
IG Bulg 1(2),20006,1646,,
IG Bulg 2,30601,2634,,
Other,100388,803,,
IG Bulg 2,30868,7516,,
IG Bulg 1(2),20047.2,2203|2256,,
Other,100344,2211|997,,
"IG Bulg 3,1",41416,56,,
"IG Bulg 3,1",41394,143|967|9355,,
"IG Bulg 3,1",41432,779,,
IG Bulg 1(2),20047.2,2189|1548,,
"IG Bulg 3,1",41197,1085,,
IG Bulg 5,75307,6156,,
IG Bulg 2,30493,2445,,
"IG Bulg 3,2",51690,1194,,
IK Byzantion,95240,6688,,
Other,100083,3891,,
I Aeg Thrace,10391,1769,,
IK Byzantion,95253.1,473,,
"IG Bulg 3,2",51690,1194,,
IG Bulg 2,30800,56|7167,,
IG Bulg 2,30840,2609,,
IG Bulg 2,30731,2204|1508,,
"IG Bulg 3,1",41517,8091|3149|2658,,
Perinthos-Herakleia,80220,2252,,
IG Bulg 5,75334,2177|2181|243,,
I Aeg Thrace,10131,4115,,
IG Bulg 4,62262,2626|2257,,
"IG Bulg 3,2",51690,1194,,
IG Bulg 1(2),20047.2,2181|2233,,
IG Bulg 1(2),20047,2189|459,,
IG Bulg 1(2),20078.3,2287,,
IG Bulg 2,30777,2189|7117,,
"IG Bulg 3,2",51628,2189|1075,,
"IG Bulg 3,1",41079,1195,,
IK Byzantion,95319,6373,,
I Aeg Thrace,10212,136,,
Other,100367,15060,,
Perinthos-Herakleia,80106,12456|2241,,
IG Bulg 5,75736,522,,
IG Bulg 1(2),20166,3572,,
IG Bulg 2,30488,2176|2189|2261|56|6656,,
IG Bulg 5,75694,13029,,
"IG Bulg 3,2",51704,2176|2189|2261|56|6656,,
IG Bulg 5,75463,2189|214,,
"IG Bulg 3,1",41127,2176|2181|1469,,
IG Bulg 2,30616,2176|2189|2609,,
"IG Bulg 3,2",51632,7228,,
"IG Bulg 3,1",41447,825|10829,,
"IG Bulg 3,2",51632,7230,,
IG Bulg 1(2),20447.2,1342,,
IK Byzantion,96033,14927|392|14928,,
"IG Bulg 3,2",51690,423,,
I Aeg Thrace,10084,2178|2196|2456,,
I Aeg Thrace,10277,4521,,
IG Bulg 2,30838,7394,,
IG Bulg 1(2),20463,1068,,
Other,100357,16468,,
IG Bulg 1(2),20261,1702,,
IG Bulg 5,75818,2189|1196,,
I Aeg Thrace,10348,2287,,
IG Bulg 1(2),20053,3891,,
IG Bulg 4,62196,2176,,
IG Bulg 5,75773,6867|7,,
I Aeg Thrace,10494,4821,,
IG Bulg 2,30659,2634,,
"IG Bulg 3,1",41516,7202,,
Other,100019,135,,
Other,100380,2178|16509,,
IG Bulg 1(2),20047.2,411,,
IG Bulg 5,75634,2189|1650,,
IG Bulg 2,30859,7477,,
IG Bulg 1(2),20401,142,,
IG Bulg 2,30628,2358,,
IG Bulg 2,30619,2176|2189|2609,,
IG Bulg 1(2),20007,2189|4909,,
IG Bulg 2,30667,1058,,
I Aeg Thrace,10084,2173|2458|2461,,
IG Bulg 1(2),20422,70,,
IG Bulg 5,75891,6087,,
Other,100291,3891,,
IG Bulg 5,75803,2189|787,,
IG Bulg 1(2),20334.9,513,,
IG Bulg 4,61916,8946,,
IG Bulg 1(2),20101.2,859,,
I Aeg Thrace,10381,1644,,
IG Bulg 1(2),20047,2189|2287,,
IG Bulg 4,62084,6506,,
IG Bulg 1(2),20047,2189|1308,,
IK Byzantion,95226,569,,
Other,100172,15132,,
IG Bulg 1(2),20052,3891,,
IG Bulg 2,30741,6891|1249,,
IG Bulg 2,30659,3689|3690,,
IK Sestos,90058,14086,,
"IG Bulg 3,1",41393,250,,
IG Bulg 2,30716,2189|8912,,
IG Bulg 4,62089,3891,,
IG Bulg 4,61993,683,,
IG Bulg 1(2),20395.4,2175,,
IK Byzantion,95322,318,,
IG Bulg 1(2),20050,200,,
IK Byzantion,95168,1183,,
IG Bulg 1(2),20164,1517,,
IG Bulg 5,75728,13677,,
"IG Bulg 3,2",51601,2179|2211|7026,,
IK Byzantion,95266,13,,
IG Bulg 5,75904,13825,,
Perinthos-Herakleia,80310,2189|13070,,
"IG Bulg 3,2",51786,1594,,
IK Byzantion,95277,15305,,
I Aeg Thrace,10276,2840|2841,,
I Aeg Thrace,10212,696,,
IK Byzantion,95277,841,,
IG Bulg 5,75287,2241,,
"IG Bulg 3,2",51557,2609,,
IG Bulg 1(2),20343.7,1213,,
IG Bulg 2,30637,2261,,
IG Bulg 1(2),20230,135,,
IG Bulg 4,62243,2173|10912|2241,,
IG Bulg 1(2),20070.2,2176|2189|3891,,
I Aeg Thrace,10440,4762,,
IG Bulg 1(2),20401,6986,,
Other,100155,16344,,
"IG Bulg 3,1",41020,5978,,
IG Bulg 1(2),20176.3,3487,,
IK Byzantion,95106,1134,,
IK Byzantion,96056,196,,
IG Bulg 5,75921,1497,,
IG Bulg 5,75932,11936,,
Other,100188,16417|16426,,
Other,100338,16231,,
IG Bulg 4,61925,9019,,
Perinthos-Herakleia,80129,2175|12310|2257,,
IG Bulg 2,30641,3731|1134,,
"IG Bulg 3,2",51690,1476,,
IG Bulg 1(2),20078.3,196,,
IG Bulg 1(2),20021,898,,
Perinthos-Herakleia,80059,335,,
IG Bulg 1(2),20002,2220,,
I Aeg Thrace,10313,2181|556,,
IG Bulg 5,75337,2176|2189|3674|2609,,
IG Bulg 4,62066,457,,
IK Byzantion,95269,15281|15282,,
IG Bulg 2,30834,2177|2200|5115,,
IG Bulg 5,75659,2997|2998,,
Other,100277,5368,,
I Aeg Thrace,10419,3891,,
IG Bulg 1(2),20051,755,,
IK Sestos,90038,1646,,
IG Bulg 2,30659,2622,,
IG Bulg 2,30866,2458|2272,,
IK Byzantion,95332,2287,,
IG Bulg 1(2),20104,1152,,
IG Bulg 2,30757,7012,,
IG Bulg 4,61917,2179|2181|2358|2609,,
IG Bulg 2,30623,2997|2998,,
"IG Bulg 3,1",41491,2175|2206|2261|3325,,
IG Bulg 4,62263,2722,,
"IG Bulg 3,1",41394,143|967|9355,,
IG Bulg 1(2),20050,5609,,
IG Bulg 2,30539,1476,,
Perinthos-Herakleia,80065,399,,
IG Bulg 1(2),20047.2,2189|2176,,
"IG Bulg 3,1",41210,1616,,
IG Bulg 5,75155,11839,,
IG Bulg 2,30503,4423|4417|2262,,
IK Byzantion,95313,561,,
IG Bulg 5,75215,2176|2189|2261|56|6656,,
"IG Bulg 3,1",41321,1594,,
IG Bulg 1(2),20014,2189|732,,
"IG Bulg 3,2",51590,2189|6850,,
IG Bulg 1(2),20047,2189|756,,
IG Bulg 1(2),20047.2,2189|196,,
"IG Bulg 3,1",41187,1476,,
IG Bulg 5,75065,1248,,
I Aeg Thrace,10286,4282,,
I Aeg Thrace,10254,4424,,
"IG Bulg 3,2",51690,531,,
IG Bulg 2,30640,2173|3726|3727|3728|2429,,
IG Bulg 5,75704,2189|816,,
I Aeg Thrace,10005,1104,,
Perinthos-Herakleia,80173,2189|12753,,
Other,100298,16147,,
IG Bulg 1(2),20335.3,904,,
IG Bulg 2,30604,2179|2181|2358|2609,,
IG Bulg 5,75158,11845,,
IG Bulg 4,62322,1404,,
IG Bulg 4,62230,274,,
"IG Bulg 3,1",41214,4437,,
Other,100265,994,,
Perinthos-Herakleia,80159,2189|12611,,
Other,100321,2178|2196,,
Other,100132,2204|2241,,
IG Bulg 1(2),20408,892,,
IG Bulg 1(2),20161,20,,
"IG Bulg 3,2",51574,2189|1119,,
Other,100382,2176|2189|135,,
IG Bulg 2,30619,2175|2206|3325,,
IG Bulg 2,30753,6999,,
I Aeg Thrace,10257,813,,
"IG Bulg 3,1",41373,2176|2189|2261|56|6656,,
"IG Bulg 3,2",51666,4601,,
IG Bulg 1(2),20108,85,,
IG Bulg 1(2),20338.2,6417,,
IG Bulg 1(2),20334.9,3207,,
IG Bulg 1(2),20047,2189|732,,
"IG Bulg 3,2",51593,1194,,
"IG Bulg 3,1",41361,2241,,
IG Bulg 1(2),20047,2189|682,,
I Aeg Thrace,10213,4324,,
Other,100268,1196,,
IG Bulg 1(2),20047.2,2189|3114,,
Perinthos-Herakleia,80169,2188|12720,,
Perinthos-Herakleia,80065,12315,,
