personalname,parentname,ethnicname,partnername,grandparentname,ethnicity,gender
138,138,,,,,
13801|683,,,,,,
13803|2997,,,,,,
13813,141,,,,,
1382,11776,,,,,
1382,1164,,,,,
13825,,,,,,
1383,813,,,,,
1383,135,,,,,
13835|1757,,,,,,
13842,1403,,,,,
1385,1708,,,,,
1385,141,,,,,
1385,5801,,,,,
13853,449,,,,,
13868,,,,,,
1387,2782,,,,,
13872,,,,,,
1388,847,,,,,
13883,14998,,,,,
13883,1126,,,,,
13892|13893,,,,,,
139,2287,,,,,
13916,,,356,,,
1392,835,,,,,
1393,2530,,,,,
1394,,,,,,
13941,119,,,,,
13959|2997,,,,,,
1396,805,,,,,
13967,,,,,,
1397,,,,,,
13983|13984,,,8137,,,
13996,,,,,,
14,,,,,,
140,1117,,,,,
140,,,,,,
1400,1616,,,,,
1400,1146,,11327,,,
14008,,,,,,
14008,140,,,,,
1401,,,,,,
14010,1120,,,,,
14010,14011,,,,,
1402,487,,,,,
14020,1740,,,,,
14020,1162,,,,,
14020,12184,,1577,,,
14020,2205,,15013,,,
14020,390,,,,,
14023,,,,,,
14026,56,,,,,
1403,,,,,,
1403,1464,,16397,,,
1403,1476,,,,,
1403,11313,,,,,
1403,2287,,,,,
1403,1089,,,,,
1403,1403,,,,,
1403,,,195,,,
1403,,,,,,
14031,874,,,,,
14036,1130,,,,,
14038,166,,,,,
1404,1192,,11381,,,
1404,,,2722,,,
1404,941,,1752,,,
1404,274,,,,,
1404,,,,,,
1404,1440,,5078,,,
14040,709,,,,,
14044,,,14045,,,
14048,,,1456,,,
14059,14060,,,,,
1406,,,,,,
14067,,,,,,
1408,568,,,,,
14086,14087,,,,,
14087,,,14089,,,
14096,14097,,,,,
14099,212,,,,,
141,393,,,,,
141,12176,,,,,
141,,,,,,
141,968,,,,,
141,14442,,,,,
141,141,,197,,,
141,141,,1770,,,
141,1605,,,,,
141,689,,,,,
141,1534,,,,,
141,578,7992,7990,,,
141,1491,,,,,
141,1606,,,,,
141,1433,,,,,
141,,4794,,,,
141,1385,,,,,
141,1256,,,2287,,
141,141,,,,,
141,1134,,,,,
141,141,,,1385,,
141,196,,3582,,,
141,234,,,,,
141,563,,,,,
141,316,,,,,
141,4551,,,,,
